110, HABEX-01, 2022-05-05, 1920, 28, Repair, 30.00, 1, 30.00, 4.50, 34.50
111, HABEX-02, 2022-06-15, 1921, 35, Repair, 20.00, 1, 20.00, 3.00, 23.00
112, HABEX-03, 2022-07-20, 1922, 24, Supplies, 100.00, 2, 200.00, 30.00, 230.00
113, HABEX-04, 2022-08-12, 1923, 15, Repair, 50.00, 1, 50.00, 7.50, 57.50
114, HABEX-05, 2022-10-02, 1924, 5, Fuel, 120.00, 1, 120.00, 18.00, 138.00
115, HABEX-06, 2023-01-19, 1925, 40, Supplies, 110.00, 2, 220.00, 33.00, 253.00
116, HABEX-07, 2023-06-04, 1926, 45, Insurance, 400.00, 1, 400.00, 60.00, 460.00
117, HABEX-08, 2023-07-22, 1927, 25, Insurance, 250.00, 1, 250.00, 37.50, 287.50
118, HABEX-09, 2023-08-02, 1919, 28, Supplies, 65.00, 2, 130.00, 19.50, 149.50
119, HABEX-10, 2023-08-26, 1922, 15, Other, 25.00, 1, 25.00, 3.75, 28.75
120, HABEX-11, 2023-11-01, 1923, 35, Other, 55.00, 1, 55.00, 8.25, 63.25
121, HABEX-12, 2024-02-19, 1924, 40, Fuel, 100.00, 1, 100.00, 15.00, 115.00
122, HABEX-13, 2024-03-30, 1920, 45, Repair, 60.00, 1, 60.00, 9.00, 69.00
