120, 1926, 2022-05-10, 1, Weekly, 7, 300.00, 45.00, 345.00
121, 1925, 2022-07-10, 2, Daily, 5, 250.00, 37.50, 287.50
122, 1923, 2022-09-09, 3, Weekly, 7, 300.00, 45.00, 345.00
123, 1926, 2022-10-11, 2, Weekly, 7, 300.00, 45.00, 345.00
124, 1923, 2022-11-18, 2, Daily, 5, 250.00, 37.50, 287.50
125, 1926, 2023-01-11, 1, Daily, 9, 450.00, 67.50, 517.50
126, 1925, 2023-02-03, 4, Daily, 3, 150.00, 22.50, 172.50
127, 1923, 2023-03-11, 1, Daily, 4, 200.00, 30.00, 230.00
128, 1926, 2023-03-11, 3, Weekly, 7, 300.00, 45.00, 345.00
129, 1923, 2023-03-20, 4, Weekly, 7, 300.00, 45.00, 345.00
130, 1925, 2024-01-21, 1, Daily, 2, 100.00, 15.00, 115.00
131, 1923, 2024-02-01, 2, Daily, 1, 50.00, 7.50, 57.50
132, 1926, 2024-03-10, 1, Daily, 4, 200.00, 30.00, 230.00
