143, 2022-04-01, Own Car, 1922, 175.00, 26.25, 201.25
144, 2022-05-01, Own Car, 1924, 175.00, 26.25, 201.25
145, 2022-05-10, Weekly Rental, 1923, 300.00, 45.00, 345.00
146, 2022-07-10, Daily Rental, 1925, 250.00, 37.50, 287.50
147, 2022-08-01, Own Car, 1927, 175.00, 26.25, 201.25
148, 2022-09-09, Weekly Rental, 1926, 300.00, 45.00, 345.00
149, 2022-10-11, Weekly Rental, 1923, 300.00, 45.00, 345.00
150, 2022-11-18, Daily Rental, 1925, 250.00, 37.50, 287.50
151, 2022-12-01, Own Car, 1920, 175.00, 26.25, 201.25
152, 2023-01-11, Daily Rental, 1926, 450.00, 67.50, 517.50
153, 2023-02-03, Daily Rental, 1925, 150.00, 22.50, 172.50
154, 2023-03-11, Daily Rental, 1923, 200.00, 30.00, 230.00
155, 2023-04-01, Own Car, 1919, 175.00, 26.25, 201.25
156, 2024-04-04, Own Car, 1929, 175.00, 26.25, 201.25
157, 2024-04-04, Own Car, 1930, 175.00, 26.25, 201.25
170, 2024-04-12, Own Car, 1943, 175.0, 26.25, 201.25
171, 2024-04-12, Weekly Rental, 1944, 600.0, 90.0, 690.0
172, 2024-04-12, Daily Rental, 1945, 600.0, 90.0, 690.0
173, 2024-04-12, Daily Rental, 1946, 900.0, 135.0, 1035.0
174, 2024-04-12, Own Car, 1947, 175.0, 26.25, 201.25
175, 2024-04-12, Own Car, 1948, 175.0, 26.25, 201.25
176, 2024-04-12, Own Car, 1949, 175.0, 26.25, 201.25
177, 2024-04-12, Own Car, 1950, 175.0, 26.25, 201.25
178, 2024-04-12, Weekly Rental, 1951, 600.0, 90.0, 690.0
179, 2024-04-13, Own Car, 1952, 175.0, 26.25, 201.25
180, 2024-04-13, Weekly Rental, 1953, 300.0, 45.0, 345.0
181, 2024-04-13, Own Car, 1952, 175.0, 26.25, 201.25
